date,clicks,conversions,cost,industry,customer,publisher,target_cpa
2019-10-31,44,1,49.97,V,4,E,35
2019-11-02,153,2,133.57,Y,3,C,25
2019-11-02,57,1,54.33,T,6,B,25
2019-11-03,2079,73,2711.9,W,1,C,40
2019-11-03,261,1,251.79,Y,3,B,25
2019-11-03,109,1,132.88,Y,3,E,25
2019-11-03,120,4,97.91,T,7,C,15
2019-11-03,6,0,4.1,V,4,E,35
2019-11-04,402,7,332.52,Y,3,C,25
2019-11-04,14,1,14.24,U,2,E,25
2019-11-05,517,30,377.25,U,2,C,25
2019-11-05,280,0,306.45,Y,3,B,25
2019-11-05,69,5,66.15,T,6,C,25
2019-11-05,167,5,210.19,Y,3,E,25
2019-11-06,10,15,9.62,T,6,A,25
2019-11-06,28,5,26.68,T,6,C,25
2019-11-07,134,11,88.23,U,2,C,25
2019-11-08,2520,80,2991.29,W,1,E,40
2019-11-08,5,0,4.41,T,6,B,25
2019-11-09,4725,121,4887.21,W,1,C,40
2019-11-09,140,3,74.16,V,4,C,35
2019-11-09,69,0,61.95,U,2,B,25
2019-11-10,209,4,127.11,V,4,C,35
2019-11-11,2510,45,2554.79,W,1,B,40
2019-11-11,38,0,34.04,V,4,E,35
2019-11-12,3023,72,2394.98,W,1,E,40
2019-11-12,2807,43,2601.29,W,1,B,40
2019-11-12,10,2,9.63,T,6,B,25
2019-11-13,1299,47,638.81,W,1,E,40
2019-11-13,1540,38,1446.22,W,1,B,40
2019-11-13,21,2,19.47,T,6,B,25
2019-11-14,151,6,118.03,Y,3,C,25
2019-11-14,135,20,112.09,Y,3,A,25
2019-11-14,2624,181,2544.56,T,6,E,25
2019-11-15,2668,33,1526.16,W,1,D,40
2019-11-15,2335,54,1612.66,W,1,E,40
2019-11-15,67,9,65.36,T,6,E,25
2019-11-15,246,12,192.24,Y,3,A,25
2019-11-16,1729,69,1098.3,W,1,E,40
2019-11-16,12,3,11.3,T,6,B,25
2019-11-17,182,7,65.62,V,4,C,35
2019-11-18,1192,18,783.1,V,4,C,35
2019-11-18,132,6,113.77,U,2,B,25
2019-11-18,10,23,9.37,T,6,A,25
2019-11-19,182,16,134.03,Y,3,A,25
2019-11-20,3245,62,1974.63,W,1,D,40
2019-11-20,6,0,5.57,T,6,B,25
2019-11-20,31,2,29.36,V,4,B,35
2019-11-20,8,8,7.87,T,6,E,25
2019-11-21,47,7,63.79,V,4,A,35
2019-11-23,33,0,25.68,Y,3,C,25
2019-11-24,191,0,139.05,V,4,B,35
2019-11-24,5,0,5.84,W,1,H,40
2019-11-24,8,0,5.43,V,4,E,35
2019-11-25,467,16,240.15,W,1,D,40
2019-11-25,11,0,8.91,Y,3,B,25
2019-11-26,2637,37,3161.72,W,1,B,40
2019-11-26,18,0,23.37,W,1,H,40
2019-11-27,648,28,623.33,T,6,E,25
2019-11-28,579,7,455.25,W,1,B,40
2019-11-28,14,1,11.86,Y,3,C,25
2019-11-28,10,0,9.71,V,4,E,35
2019-11-29,288,4,150.77,V,4,C,35
2019-11-29,61,0,37.44,U,2,B,25
2019-11-29,110,37,101.85,T,6,A,25
2019-11-30,3268,81,1940.51,W,1,C,40
2019-11-30,185,0,105.67,V,4,B,35
2019-11-30,13,6,7.04,W,1,D,40
2019-12-01,5,0,4.46,Y,3,C,25
2019-12-01,428,9,219.76,V,4,C,35
2019-12-01,9,0,8.31,T,6,B,25
2019-12-02,882,44,836.45,T,6,C,25
2019-12-02,1560,426,1489.78,T,6,A,25
2019-12-03,581,21,483.6,U,2,C,25
2019-12-03,15,0,20.52,W,1,H,40
2019-12-04,6,8,3.74,W,1,D,40
2019-12-04,38,1,37.27,T,6,B,25
2019-12-05,61,3,45.35,V,4,A,35
2019-12-05,429,28,799.33,Y,3,A,25
2019-12-05,13,1,12.85,T,6,B,25
2019-12-06,281,17,529.01,Y,3,A,25
2019-12-06,30,1,24.59,Y,3,C,25
2019-12-06,408,9,292.0,W,1,E,40
2019-12-07,71,2,54.09,U,2,B,25
2019-12-08,219,3,78.98,V,4,C,35
2019-12-08,186,5,136.08,U,2,C,25
2019-12-08,21,0,17.51,Y,3,C,25
2019-12-09,2909,92,1663.14,W,1,C,40
2019-12-09,255,20,182.19,U,2,C,25
2019-12-09,349,12,139.22,V,4,C,35
2019-12-10,2832,108,1628.02,W,1,C,40
2019-12-10,675,0,589.55,Y,3,B,25
2019-12-10,35,0,29.48,V,4,B,35
2019-12-11,437,4,383.78,Y,3,B,25
2019-12-11,10,1,9.37,T,6,C,25
2019-12-11,69,0,57.99,V,4,B,35
2019-12-17,2381,70,1355.8,V,4,C,35
2019-12-12,1009,18,851.49,W,1,B,40
2019-12-15,738,7,546.85,W,1,B,40
2019-12-17,755,59,813.14,V,4,A,35
2019-12-16,321,8,319.2,V,4,B,35
2019-12-15,476,8,511.32,W,1,E,40
2019-12-18,488,6,544.71,W,1,E,40
2019-12-13,216,8,203.38,Y,3,C,25
2019-12-14,427,5,334.39,U,2,C,25
2019-12-18,378,11,278.22,U,2,B,25
2019-12-14,10,1,11.52,W,1,H,40
2019-12-17,5,1,3.69,U,2,E,25
2019-12-12,66,1,58.72,Y,3,E,25
2019-12-16,9,1,8.23,T,6,C,25
2019-12-19,1150,30,1039.91,V,4,C,35
2019-12-19,1,0,0.69,W,1,F,40
2019-12-20,34,1,29.09,V,4,B,35
2019-12-23,155,6,111.23,U,2,B,25
2019-12-23,418,5,261.52,W,1,C,40
2019-12-24,122,4,99.04,V,4,B,35
2019-12-25,797,0,725.07,V,4,H,35
2019-12-26,22,2,21.3,W,1,C,40
2019-12-27,965,4,708.56,U,5,C,25
2019-12-28,297,7,171.28,U,2,C,25
2019-12-28,77,0,63.64,U,5,E,25
2019-12-30,517,37,283.92,U,2,C,25
2019-12-30,61,0,64.35,W,1,B,40
2019-12-30,36,0,32.31,U,5,E,25
2019-12-31,215,2,129.52,U,5,C,25
2020-01-02,7,0,6.47,Y,3,C,25
2020-01-03,136,26,189.3,V,4,A,35
2020-01-03,16,0,15.16,Y,3,B,25
2020-01-04,60,3,72.04,V,4,A,35
